pm_id,issn,essn,last_author,pmc_id,title,source,impact_factor
10611325,0027-8424,1091-6490,Kim YJ,PMC24760,Caenorhabditis elegans mediator complexes are required for developmental-specific transcriptional activation.,Proc Natl Acad Sci U S A,12.779
10611331,0027-8424,1091-6490,Ueno N,PMC24766,Identification of transforming growth factor-beta- regulated genes in caenorhabditis elegans by differential hybridization of arrayed cDNAs.,Proc Natl Acad Sci U S A,12.779
10611362,0027-8424,1091-6490,Manoil C,PMC24797,Lethal paralysis of Caenorhabditis elegans by Pseudomonas aeruginosa.,Proc Natl Acad Sci U S A,12.779
10635059,1060-6823,,Cho NJ,,Cloning and functional characterization of a Caenorhabditis elegans muscarinic acetylcholine receptor.,Recept Channels,
10635316,1097-2765,,Pawson T,,Multiple ephrins control cell organization in C. elegans using kinase-dependent and -independent functions of the VAB-1 Eph receptor.,Mol Cell,19.328
10606735,0014-5793,,Ségalat L,,Mutations in the dystrophin-like dys-1 gene of Caenorhabditis elegans result in reduced acetylcholinesterase activity.,FEBS Lett,3.864
10583406,0014-2956,,Lim L,,Molecular characterization of the Caenorhabditis elegans Rho GDP-dissociation inhibitor.,Eur J Biochem,
10618440,0027-8424,1091-6490,Ruvkun G,PMC26685,A common muscarinic pathway for diapause recovery in the distantly related nematode species Caenorhabditis elegans and Ancylostoma caninum.,Proc Natl Acad Sci U S A,12.779
10638523,0197-4580,,Johnson TE,,The spe-10 mutant has longer life and increased stress resistance.,Neurobiol Aging,5.133
10608844,0021-9258,,Kataoka T,,"RA-GEF, a novel Rap1A guanine nucleotide exchange factor containing a Ras/Rap1A-associating domain, is conserved between nematode and humans.",J Biol Chem,
10625537,0012-1606,,Ellis RE,,A novel member of the tob family of proteins controls sexual fate in Caenorhabditis elegans germ cells.,Dev Biol,3.148
10625546,0012-1606,,Thomas JH,,Targets of TGF-beta signaling in Caenorhabditis elegans dauer formation.,Dev Biol,3.148
10646593,0028-0836,,Hodgkin J,,MRT-2 checkpoint protein is required for germline immortality and telomere replication in C. elegans.,Nature,69.504
10629219,0021-9525,1540-8140,van den Heuvel S,PMC3207147,LIN-5 is a novel component of the spindle apparatus required for chromosome segregation and cleavage plane specification in Caenorhabditis elegans.,J Cell Biol,8.077
10632580,0270-6474,1529-2401,Joho RH,PMC4442482,Ultrafast inactivation causes inward rectification in a voltage-gated K(+) channel from Caenorhabditis elegans.,J Neurosci,6.709
10648570,0021-9525,1540-8140,Pilgrim D,PMC2174295,"Caenorhabditis elegans UNC-45 is a component of muscle thick filaments and colocalizes with myosin heavy chain B, but not myosin heavy chain A.",J Cell Biol,8.077
10631116,0006-291X,,Siddiqui SS,,"cDNA cloning and expression of a C-terminus motor kinesin-like protein KLP-17, involved in chromosomal movement in Caenorhabditis elegans.",Biochem Biophys Res Commun,3.322
10655066,1061-4036,,Driscoll M,,Heritable and inducible genetic interference by double-stranded RNA encoded by transgenes.,Nat Genet,41.307
10676966,0028-0836,,Ruvkun G,,Food and metabolic signalling defects in a Caenorhabditis elegans serotonin-synthesis mutant.,Nature,69.504
10665934,1046-6673,,Hildebrandt F,,"Nephrocystin: gene expression and sequence conservation between human, mouse, and Caenorhabditis elegans.",J Am Soc Nephrol,14.978
10655217,0016-6731,,Takagi S,PMC1460937,"EAT-20, a novel transmembrane protein with EGF motifs, is required for efficient feeding in Caenorhabditis elegans.",Genetics,4.402
10693745,0166-6851,,Komuniecki R,,Secretion of a novel class of iFABPs in nematodes: coordinate use of the Ascaris/Caenorhabditis model systems.,Mol Biochem Parasitol,1.845
10660605,0021-9258,,Rubin CS,,Characterization of structural features that mediate the tethering of Caenorhabditis elegans protein kinase A to a novel A kinase anchor protein. Insights into the anchoring of PKAI isoforms.,J Biol Chem,
11256419,1520-541X,,Yen WC,,Reproductive isolation in Caenorhabditis: terminal phenotypes of hybrid embryos.,Evol Dev,2.839
10673277,1088-9051,,Robertson HM,,The large srh family of chemoreceptor genes in Caenorhabditis nematodes reveals processes of genome evolution involving large duplications and deletions and intron gains and losses.,Genome Res,9.438
10675614,0378-1119,,McDermott JB,,Conservation of sequence and function of the pag-3 genes from C. elegans and C. briggsae.,Gene,3.913
10603352,0950-1991,,Shakes DC,,"Anucleate Caenorhabditis elegans sperm can crawl, fertilize oocytes and direct anterior-posterior polarization of the 1-cell embryo.",Development,6.862
10631179,0950-1991,,Culotti JG,,Regulation of the UNC-5 netrin receptor initiates the first reorientation of migrating distal tip cells in Caenorhabditis elegans.,Development,6.862
10858820,0167-7063,,Pilgrim DB,,"The UNC-119 family of neural proteins is functionally conserved between humans, Drosophila and C. elegans.",J Neurogenet,1.696
10831045,0012-1592,,Chow KL,,Mutations with sensory ray defect unmask cuticular glycoprotein antigens in Caenorhabditis elegans male tail.,Dev Growth Differ,3.063
10688797,0036-8075,,Horvitz HR,,Translocation of C. elegans CED-4 to nuclear membranes during programmed cell death.,Science,63.714
10706289,0028-0836,,Ruvkun G,,The 21-nucleotide let-7 RNA regulates developmental timing in Caenorhabditis elegans.,Nature,69.504
10688659,0270-7306,1098-5549,Wickens M,PMC110829,Rapid deadenylation and Poly(A)-dependent translational repression mediated by the Caenorhabditis elegans tra-2 3' untranslated region in Xenopus embryos.,Mol Cell Biol,5.069
10688674,0270-7306,1098-5549,Ambros V,PMC110844,"Structure and function analysis of LIN-14, a temporal regulator of postembryonic developmental events in Caenorhabditis elegans.",Mol Cell Biol,5.069
10858823,0167-7063,,Driscoll M,,Caenorhabditis elegans degenerins and vertebrate ENaC ion channels contain an extracellular domain related to venom neurotoxins.,J Neurogenet,1.696
10656761,0012-1606,,Wood WB,,"mag-1, a homolog of Drosophila mago nashi, regulates hermaphrodite germ-line sex determination in Caenorhabditis elegans.",Dev Biol,3.148
10679207,0006-291X,,Kaang BK,,"Alternative splicing of gar-1, a Caenorhabditis elegans G-protein-linked acetylcholine receptor gene.",Biochem Biophys Res Commun,3.322
10711574,0785-3890,,Blaxter ML,,Medical significance of Caenorhabditis elegans.,Ann Med,5.348
10683178,0950-1991,,Nonet ML,,A retrograde signal is involved in activity-dependent remodeling at a C. elegans neuromuscular junction.,Development,6.862
10648230,0950-1991,,Thomas JH,,The bromodomain protein LIN-49 and trithorax-related protein LIN-59 affect development and gene expression in Caenorhabditis elegans.,Development,6.862
10648234,0950-1991,,Culotti JG,,mab-20 encodes Semaphorin-2a and is required to prevent ectopic cell contacts during epidermal morphogenesis in Caenorhabditis elegans.,Development,6.862
10669599,0022-2836,,Bullard B,,Sequence and expression of the kettin gene in Drosophila melanogaster and Caenorhabditis elegans.,J Mol Biol,6.151
10648229,0950-1991,,Wightman B,,The fax-1 nuclear hormone receptor regulates axon pathfinding and neurotransmitter expression.,Development,6.862
10662646,0950-1991,,Yamamoto M,,Caenorhabditis elegans homologue of the human azoospermia factor DAZ is required for oogenesis but not for spermatogenesis.,Development,6.862
10683173,0950-1991,,Hedgecock EM,,Fragile skeletal muscle attachments in dystrophic mutants of Caenorhabditis elegans: isolation and characterization of the mua genes.,Development,6.862
10704392,0950-1991,,Kemphues KJ,,The C. elegans par-4 gene encodes a putative serine-threonine kinase required for establishing embryonic asymmetry.,Development,6.862
10649566,1097-6256,,Katsura I,,Identification and characterization of the high-affinity choline transporter.,Nat Neurosci,28.771
10707082,1465-7392,,Horvitz HR,,CED-2/CrkII and CED-10/Rac control phagocytosis and cell migration in Caenorhabditis elegans.,Nat Cell Biol,28.213
10698639,0022-2836,,Chothia C,,Immunoglobulin superfamily proteins in Caenorhabditis elegans.,J Mol Biol,6.151
10757761,0016-6731,,Zahler AM,PMC1460989,The allele-specific suppressor sup-39 alters use of cryptic splice sites in Caenorhabditis elegans.,Genetics,4.402
10757762,0016-6731,,Schafer WR,PMC1460996,Effect of a neuropeptide gene on behavioral states in Caenorhabditis elegans egg-laying.,Genetics,4.402
10716995,0027-8424,1091-6490,Avery L,PMC15988,The genetics of ivermectin resistance in Caenorhabditis elegans.,Proc Natl Acad Sci U S A,12.779
10749212,0028-0836,,Iino Y,,The Ras-MAPK pathway is important for olfaction in Caenorhabditis elegans.,Nature,69.504
10749214,0028-0836,,Plasterk RH,,A genetic link between co-suppression and RNA interference in C. elegans.,Nature,69.504
10716942,0890-9369,,Horvitz HR,PMC316423,"NUC-1, a caenorhabditis elegans DNase II homolog, functions in an intermediate step of DNA degradation during apoptosis.",Genes Dev,12.89
10716947,0890-9369,,Hodgkin J,PMC316422,The caenorhabditis elegans fate-determining gene mab-9 encodes a T-box protein required to pattern the posterior hindgut.,Genes Dev,12.89
10694425,0012-1606,,Priess JR,,P granules in the germ cells of Caenorhabditis elegans adults are associated with clusters of nuclear pores and contain RNA.,Dev Biol,3.148
10694478,0006-291X,,Mitani S,,"Characterization of mutations induced by ethyl methanesulfonate, UV, and trimethylpsoralen in the nematode Caenorhabditis elegans.",Biochem Biophys Res Commun,3.322
10617665,0021-9258,,Schnetkamp PP,,Minimal domain requirement for cation transport by the potassium-dependent Na/Ca-K exchanger. Comparison with an NCKX paralog from Caenorhabditis elegans.,J Biol Chem,
10766620,0036-8075,,Zamore PD,,Molecular biology. RNA interference.,Science,63.714
10722848,0014-5793,,Siddiqui SS,,A novel C-terminal kinesin subfamily may be involved in chromosomal movement in caenorhabditis elegans.,FEBS Lett,3.864
10677345,0264-6021,1470-8728,Wek RC,PMC1220852,"Pancreatic eukaryotic initiation factor-2alpha kinase (PEK) homologues in humans, Drosophila melanogaster and Caenorhabditis elegans that mediate translational control in response to endoplasmic reticulum stress.",Biochem J,3.766
10737793,0027-8424,1091-6490,Kimble J,PMC16229,The hermaphrodite sperm/oocyte switch requires the Caenorhabditis elegans homologs of PRP2 and PRP22.,Proc Natl Acad Sci U S A,12.779
10729338,0270-6474,1529-2401,Driscoll M,PMC6772260,"In vivo structure-function analyses of Caenorhabditis elegans MEC-4, a candidate mechanosensory ion channel subunit.",J Neurosci,6.709
10734106,0021-9258,,Leibach FH,,A novel H(+)-coupled oligopeptide transporter (OPT3) from Caenorhabditis elegans with a predominant function as a H(+) channel and an exclusive expression in neurons.,J Biol Chem,
10734103,0021-9258,,Ravichandran KS,,"Identification and characterization of a dimerization domain in CED-6, an adapter protein involved in engulfment of apoptotic cells.",J Biol Chem,
10691967,0014-2956,,Kamiryo T,,Immunological detection of alkaline-diaminobenzidine-negativeperoxisomes of the nematode Caenorhabditis elegans purification and unique pH optima of peroxisomal catalase.,Eur J Biochem,
10882127,1097-2765,,Thomas JH,,The RFX-type transcription factor DAF-19 regulates sensory neuron cilium formation in C. elegans.,Mol Cell,19.328
10753123,0036-8075,,Wadsworth WG,,Positioning of longitudinal nerves in C. elegans by nidogen.,Science,63.714
10774726,0896-6273,,Bargmann CI,,Olfaction and odor discrimination are mediated by the C. elegans guanylyl cyclase ODR-1.,Neuron,18.688
10774727,0896-6273,,Bürglin TR,,The LIM homeobox gene ceh-14 confers thermosensory function to the AFD neurons in Caenorhabditis elegans.,Neuron,18.688
10882128,1097-2765,,Horvitz HR,,The ced-8 gene controls the timing of programmed cell deaths in C. elegans.,Mol Cell,19.328
10882129,1097-2765,,Hengartner MO,,A conserved checkpoint pathway mediates DNA damage--induced apoptosis and cell cycle arrest in C. elegans.,Mol Cell,19.328
10778742,0026-8925,,Rose AM,,Mutational accessibility of essential genes on chromosome I(left) in Caenorhabditis elegans.,Mol Gen Genet,
10780544,0022-3395,,de Souza W,,Ultrastructural analyses of the Caenorhabditis elegans sqt-1(sc13) left roller mutant.,J Parasitol,1.343
10744754,0021-9258,,Rhoads RE,,Functional characterization of five eIF4E isoforms in Caenorhabditis elegans.,J Biol Chem,
10747030,0261-4189,1460-2075,Cáceres JF,PMC310231,Functional characterization of SR and SR-related genes in Caenorhabditis elegans.,EMBO J,14.012
10749938,1059-1524,,Greenstein D,PMC14855,EMB-30: an APC4 homologue required for metaphase-to-anaphase transitions during meiosis and mitosis in Caenorhabditis elegans.,Mol Biol Cell,3.612
10766743,0890-9369,,Hajnal A,PMC316495,The Caenorhabditis elegans APC-related gene apr-1 is required for epithelial cell migration and Hox gene expression.,Genes Dev,12.89
10790386,0016-6731,,Thomas JH,PMC1461074,A transmembrane guanylyl cyclase (DAF-11) and Hsp90 (DAF-21) regulate a common set of chemosensory behaviors in caenorhabditis elegans.,Genetics,4.402
10790387,0016-6731,,Kimble J,PMC1461077,"Regulatory elements required for development of caenorhabditis elegans hermaphrodites are conserved in the tra-2 homologue of C. remanei, a male/female sister species.",Genetics,4.402
10805750,0270-7306,1098-5549,Page AP,PMC85778,Prolyl 4-hydroxylase is an essential procollagen-modifying enzyme required for exoskeleton formation and the maintenance of body shape in the nematode Caenorhabditis elegans.,Mol Cell Biol,5.069
10844141,0014-2999,,Wahlestedt C,,Altered behaviour following RNA interference knockdown of a C. elegans G-protein coupled receptor by ingested double stranded RNA.,Eur J Pharmacol,5.195
10760276,0027-8424,1091-6490,Shivdasani RA,PMC18153,Action of the Caenorhabditis elegans GATA factor END-1 in Xenopus suggests that similar mechanisms initiate endoderm development in ecdysozoa and vertebrates.,Proc Natl Acad Sci U S A,12.779
10850666,1016-8478,,Ahnn J,,"Analysis of the fit-1 gene encoding a ECM protein, flectin, in Caenorhabditis elegans.",Mol Cells,4.25
10747056,0016-6731,,Riddle DL,PMC1461011,"Genetic, behavioral and environmental determinants of male longevity in Caenorhabditis elegans.",Genetics,4.402
10775428,0003-9861,,Browse J,,Identification and characterization of an animal delta(12) fatty acid desaturase gene by heterologous expression in Saccharomyces cerevisiae.,Arch Biochem Biophys,4.114
10376213,1042-5179,1026-7913,Wei D,,Caenorhabditis elegans contains structural homologs of human prk and plk.,DNA Seq,
10781051,0027-8424,1091-6490,Wood WB,PMC18263,Caenorhabditis elegans embryonic axial patterning requires two recently discovered posterior-group Hox genes.,Proc Natl Acad Sci U S A,12.779
10781079,0027-8424,1091-6490,Kimble J,PMC18302,Prolyl 4-hydroxylase is required for viability and morphogenesis in Caenorhabditis elegans.,Proc Natl Acad Sci U S A,12.779
10882102,1097-2765,,Ruvkun G,,The lin-41 RBCC gene acts in the C. elegans heterochronic pathway between the let-7 regulatory RNA and the LIN-29 transcription factor.,Mol Cell,19.328
10882103,1097-2765,,Priess JR,,MEX-5 and MEX-6 function to establish soma/germline asymmetry in early C. elegans embryos.,Mol Cell,19.328
10783162,0890-9369,,Kuwabara PE,PMC316540,Proteolysis in Caenorhabditis elegans sex determination: cleavage of TRA-2A by TRA-3.,Genes Dev,12.89
10806111,0021-9533,,Jacobson LA,,Genetic defects in acetylcholine signalling promote protein degradation in muscle cells of Caenorhabditis elegans.,J Cell Sci,5.235
10756204,0305-1048,1362-4962,Koo HS,PMC103277,Functional characterization of Caenorhabditis elegans DNA topoisomerase IIIalpha.,Nucleic Acids Res,19.16
10830948,0028-0836,,Lithgow GJ,,Evolution of lifespan in C. elegans.,Nature,69.504
10830967,0028-0836,,Kimble J,,LAG-3 is a putative transcriptional activator in the C. elegans Notch pathway.,Nature,69.504
10779528,0737-4038,,Johnson TE,,Paralogy and orthology of tyrosine kinases that can extend the life span of Caenorhabditis elegans.,Mol Biol Evol,8.8
10772804,0012-1606,,Podbilewicz B,,"Ring formation drives invagination of the vulva in Caenorhabditis elegans: Ras, cell fusion, and cell migration determine structural fates.",Dev Biol,3.148
10772806,0012-1606,,Sluder AE,,"nhr-25, the Caenorhabditis elegans ortholog of ftz-f1, is required for epidermal and somatic gonad development.",Dev Biol,3.148
10805788,0027-8424,1091-6490,Leroi AM,PMC25820,Somatic polyploidization and cellular proliferation drive body size evolution in nematodes.,Proc Natl Acad Sci U S A,12.779
10811831,0021-9525,1540-8140,Bennett V,PMC2174577,"Caenorhabditis elegans beta-G spectrin is dispensable for establishment of epithelial polarity, but essential for muscular and neuronal function.",J Cell Biol,8.077
10811832,0021-9525,1540-8140,Jorgensen EM,PMC2174563,Mutations in beta-spectrin disrupt axon outgrowth and sarcomere structure.,J Cell Biol,8.077
10809666,0890-9369,,Mains PE,PMC316576,MEI-1/MEI-2 katanin-like microtubule severing activity is required for Caenorhabditis elegans meiosis.,Genes Dev,12.89
10790327,0012-1606,,Plasterk RH,,"CHE-3, a cytosolic dynein heavy chain, is required for sensory cilia structure and function in Caenorhabditis elegans.",Dev Biol,3.148
10704412,0960-9822,,Maine EM,,EGO-1 is related to RNA-directed RNA polymerase and functions in germ-line development and RNA interference in C. elegans.,Curr Biol,10.9
10811890,0027-8424,1091-6490,Morimoto RI,PMC18505,Polyglutamine aggregates alter protein folding homeostasis in Caenorhabditis elegans.,Proc Natl Acad Sci U S A,12.779
10839353,0896-6273,,Jin Y,,"Regulation of presynaptic terminal organization by C. elegans RPM-1, a putative guanine nucleotide exchanger with a RING-H2 finger domain.",Neuron,18.688
10839354,0896-6273,,Nonet ML,,"rpm-1, a conserved neuronal gene that regulates targeting and synaptogenesis in C. elegans.",Neuron,18.688
10818169,0270-6474,1529-2401,Wicks SR,PMC6772661,Mutations of the caenorhabditis elegans brain-specific inorganic phosphate transporter eat-4 affect habituation of the tap-withdrawal response without affecting the response itself.,J Neurosci,6.709
10872837,0006-291X,,Browse J,,A palmitoyl-CoA-specific delta9 fatty acid desaturase from Caenorhabditis elegans.,Biochem Biophys Res Commun,3.322
10877696,0036-8075,,Navarro C,,Development. PARallels in axis formation.,Science,63.714
10769229,0950-1991,,Krause M,,Caenorhabditis elegans twist plays an essential role in non-striated muscle development.,Development,6.862
10870962,0173-0835,,Isobe T,,Profiling of Caenorhabditis elegans proteins using two-dimensional gel electrophoresis and matrix assisted laser desorption/ionization-time of flight-mass spectrometry.,Electrophoresis,3.595
10801441,0960-9822,,Johnson C,,A model for niemann-pick type C disease in the nematode Caenorhabditis elegans.,Curr Biol,10.9
10829069,0027-8424,1091-6490,Napier JA,PMC18618,Heterologous reconstitution in yeast of the polyunsaturated fatty acid biosynthetic pathway.,Proc Natl Acad Sci U S A,12.779
10848606,0270-7306,1098-5549,Baumeister R,PMC85923,Identification of amino acid residues in the Caenorhabditis elegans POU protein UNC-86 that mediate UNC-86-MEC-3-DNA ternary complex formation.,Mol Cell Biol,5.069
10864868,0036-8075,,Matsumoto K,,A metalloprotease disintegrin that controls cell migration in Caenorhabditis elegans.,Science,63.714
10896589,0036-8075,,Hardin J,,Development. A degrading way to make an organ.,Science,63.714
10704416,0960-9822,,Ahringer J,,NURD-complex genes antagonise Ras-induced vulval development in Caenorhabditis elegans.,Curr Biol,10.9
10727078,1042-5179,1026-7913,Hori K,,Identification of epi-1 locus as a laminin alpha chain gene in the nematode Caenorhabditis elegans and characterization of epi-1 mutant alleles.,DNA Seq,
10749199,0028-0836,,Cogoni C,,Gene silencing in worms and fungi.,Nature,69.504
10819327,1340-2838,,Siddiqui SS,,"C. elegans KLP-11/OSM-3/KAP-1: orthologs of the sea urchin kinesin-II, and mouse KIF3A/KIFB/KAP3 kinesin complexes.",DNA Res,4.477
10854271,0022-3042,,Jo YH,,"Phospholipase C, protein kinase C, Ca(2+)/calmodulin-dependent protein kinase II, and tyrosine phosphorylation are involved in carbachol-induced phospholipase D activation in Chinese hamster ovary cells expressing muscarinic acetylcholine receptor of Caenorhabditis elegans.",J Neurochem,5.546
10764728,0021-9258,,Yu VC,,The Caenorhabditis elegans sex determination protein FEM-1 is a CED-3 substrate that associates with CED-4 and mediates apoptosis in mammalian cells.,J Biol Chem,
10859169,0890-9369,,Riddle DL,PMC316684,daf-12 encodes a nuclear receptor that regulates the dauer diapause and developmental age in C. elegans.,Genes Dev,12.89
10769231,0950-1991,,Hyman AA,,"OOC-3, a novel putative transmembrane protein required for establishment of cortical domains and spindle orientation in the P(1) blastomere of C. elegans embryos.",Development,6.862
10901169,1016-8478,,Lee J,,"Molecular genetic analysis of apm-2 and aps-2, genes encoding the medium and small chains of the AP-2 clathrin-associated protein complex in the nematode Caenorhabditis elegans.",Mol Cells,4.25
10804188,0950-1991,,Priess JR,,aph-2 encodes a novel extracellular protein required for GLP-1-mediated signaling.,Development,6.862
10889219,0737-4038,,Kipreos ET,,Evolution of cyclin-dependent kinases (CDKs) and CDK-activating kinases (CAKs): differential conservation of CAKs in yeast and metazoa.,Mol Biol Evol,8.8
10896155,0896-6273,,Schafer WR,,Optical imaging of calcium transients in neurons and pharyngeal muscle of C. elegans.,Neuron,18.688
10896158,0896-6273,,Horvitz HR,,C. elegans locomotory rate is modulated by the environment through a dopaminergic pathway and by experience through a serotonergic pathway.,Neuron,18.688
10871280,0021-9525,1540-8140,Glotzer M,PMC2175131,CYK-4: A Rho family gtpase activating protein (GAP) required for central spindle formation and cytokinesis.,J Cell Biol,8.077
10899109,0261-4189,1460-2075,Chow KL,PMC313976,Expression of ram-5 in the structural cell is required for sensory ray morphogenesis in Caenorhabditis elegans male tail.,EMBO J,14.012
10887151,0890-9369,,Villeneuve AM,PMC316736,Transgene-mediated cosuppression in the C. elegans germ line.,Genes Dev,12.89
10864461,0012-1606,,Padgett RW,,SMA-3 smad has specific and critical functions in DBL-1/SMA-6 TGFbeta-related signaling.,Dev Biol,3.148
10885746,0012-1606,,White JG,,The spd-2 gene is required for polarization of the anteroposterior axis and formation of the sperm asters in the Caenorhabditis elegans zygote.,Dev Biol,3.148
10917532,0028-0836,,Baumeister R,,Presenilin is required for proper morphology and function of neurons in C. elegans.,Nature,69.504
10880475,0016-6731,,Greenwald I,PMC1461134,"Caenorhabditis elegans lin-13, a member of the LIN-35 Rb class of genes involved in vulval development, encodes a protein with zinc fingers and an LXCXE motif.",Genetics,4.402
10880476,0016-6731,,L'Hernault SW,PMC1461137,dpy-18 encodes an alpha-subunit of prolyl-4-hydroxylase in caenorhabditis elegans.,Genetics,4.402
10884418,0027-8424,1091-6490,Greenwald I,PMC16638,"SEL-8, a nuclear protein required for LIN-12 and GLP-1 signaling in Caenorhabditis elegans.",Proc Natl Acad Sci U S A,12.779
10873623,0006-291X,,Kimura Y,,Molecular cloning and characterization of a new insulin/IGF-like peptide of the nematode Caenorhabditis elegans.,Biochem Biophys Res Commun,3.322
10873676,0006-291X,,Bessman MJ,,"Cloning and characterization of the NADH pyrophosphatases from Caenorhabditis elegans and Saccharomyces cerevisiae, members of a Nudix hydrolase subfamily.",Biochem Biophys Res Commun,3.322
10893272,0021-9525,1540-8140,Moerman DG,PMC2185566,The UNC-112 gene in Caenorhabditis elegans encodes a novel component of cell-matrix adhesion structures required for integrin localization in the muscle cell membrane.,J Cell Biol,8.077
10880441,0261-4189,1460-2075,Sternberg PW,PMC313952,Caenorhabditis elegans SOS-1 is necessary for multiple RAS-mediated developmental signals.,EMBO J,14.012
10878806,1465-7392,,Labouesse M,,LET-413 is a basolateral protein required for the assembly of adherens junctions in Caenorhabditis elegans.,Nat Cell Biol,28.213
10660671,1526-954X,,Golden A,,The polo-like kinase PLK-1 is required for nuclear envelope breakdown and the completion of meiosis in Caenorhabditis elegans.,Genesis,2.389
10884342,0022-2836,,Shmookler Reis R,,"Diverse Caenorhabditis elegans genes that are upregulated in dauer larvae also show elevated transcript levels in long-lived, aged, or starved adults.",J Mol Biol,6.151
10851135,0950-1991,,Bennett KL,,Combinatorial RNA interference indicates GLH-4 can compensate for GLH-1; these two P granule components are critical for fertility in C. elegans.,Development,6.862
10737940,0887-3585,,Godzik A,,ATP-activated oligomerization as a mechanism for apoptosis regulation: fold and mechanism prediction for CED-4.,Proteins,4.088
10952315,0028-0836,,Clevers HC,,Distinct beta-catenins mediate adhesion and signalling functions in C. elegans.,Nature,69.504
10764775,0021-9258,,Blackwell TK,,A conserved transcription motif suggesting functional parallels between Caenorhabditis elegans SKN-1 and Cap'n'Collar-related basic leucine zipper proteins.,J Biol Chem,
10903434,0378-1119,,Rose AM,,Mutational analysis of bli-4/kpc-4 reveals critical residues required for proprotein convertase function in C. elegans.,Gene,3.913
10903445,0378-1119,,Bresnick EH,,A HECT domain ubiquitin ligase closely related to the mammalian protein WWP1 is essential for Caenorhabditis elegans embryogenesis.,Gene,3.913
10903446,0378-1119,,Aguilera RJ,,The C. elegans apoptotic nuclease NUC-1 is related in sequence and activity to mammalian DNase II.,Gene,3.913
10899123,0261-4189,1460-2075,Baumeister R,PMC313964,Protein interaction surface of the POU transcription factor UNC-86 selectively used in touch neurons.,EMBO J,14.012
10882527,0012-1606,,Krause M,,The MADS-Box factor CeMEF2 is not essential for Caenorhabditis elegans myogenesis and development.,Dev Biol,3.148
10880363,0264-6021,1470-8728,Mori N,PMC1221187,Identification of the differential distribution patterns of mRNAs and consensus binding sequences for mouse DAF-16 homologues.,Biochem J,3.766
10891266,0022-2836,,Arpagaus M,,"Four genes encode acetylcholinesterases in the nematodes Caenorhabditis elegans and Caenorhabditis briggsae. cDNA sequences, genomic structures, mutations and in vivo expression.",J Mol Biol,6.151
10862717,0021-9533,,Fambrough DM,,Identification and molecular-genetic characterization of a LAMP/CD68-like protein from Caenorhabditis elegans.,J Cell Sci,5.235
10862749,0950-1991,,Ellis RE,,"TRA-1A regulates transcription of fog-3, which controls germ cell fate in C. elegans.",Development,6.862
10906451,0925-4773,,Sakamoto H,,"Unique and redundant functions of SR proteins, a conserved family of splicing factors, in Caenorhabditis elegans development.",Mech Dev,1.81
10940320,1072-0502,,van der Kooy D,PMC311335,A behavioral and genetic dissection of two forms of olfactory plasticity in Caenorhabditis elegans: adaptation and habituation.,Learn Mem,2.699
10924467,0016-6731,,Aroian RV,PMC1461216,Bacillus thuringiensis (Bt) toxin susceptibility and isolation of resistance mutants in the nematode Caenorhabditis elegans.,Genetics,4.402
10921907,0890-9369,,Jefferis GS,PMC316821,"A C. elegans patched gene, ptc-1, functions in germ-line cytokinesis.",Genes Dev,12.89
10911977,0077-8923,,Lithgow GJ,,Using stress resistance to isolate novel longevity mutations in Caenorhabditis elegans.,Ann N Y Acad Sci,6.499
10975519,0092-8674,,Allis CD,,Mitotic phosphorylation of histone H3 is governed by Ipl1/aurora kinase and Glc7/PP1 phosphatase in budding yeast and nematodes.,Cell,66.85
10908652,0027-8424,1091-6490,Craigie R,PMC16810,"Barrier-to-autointegration factor (BAF) bridges DNA in a discrete, higher-order nucleoprotein complex.",Proc Natl Acad Sci U S A,12.779
10772247,0302-766X,,von Düring M,,Epithelial Na+ channels and stomatin are expressed in rat trigeminal mechanosensory neurons.,Cell Tissue Res,4.051
10949028,1097-2765,,Sternberg PW,,ARK-1 inhibits EGFR signaling in C. elegans.,Mol Cell,19.328
11009029,0021-9673,,Kasai K,,Reinforcement of frontal affinity chromatography for effective analysis of lectin-oligosaccharide interactions.,J Chromatogr A,4.601
10931870,0021-9525,1540-8140,Jorgensen EM,PMC2175188,Mutations in synaptojanin disrupt synaptic vesicle recycling.,J Cell Biol,8.077
10930467,1059-1524,,Lee J,PMC14953,Distinct and redundant functions of mu1 medium chains of the AP-1 clathrin-associated protein complex in the nematode Caenorhabditis elegans.,Mol Biol Cell,3.612
10950865,0890-9369,,Koelle MR,PMC316861,Multiple RGS proteins alter neural G protein signaling to allow C. elegans to rapidly change behavior when fed.,Genes Dev,12.89
10887089,0950-1991,,Riddle DL,,A Caenorhabditis elegans type I TGF beta receptor can function in the absence of type II kinase to promote larval development.,Development,6.862
10887091,0950-1991,,Brunet JF,,The homeodomain protein CePHOX2/CEH-17 controls antero-posterior axonal growth in C. elegans.,Development,6.862
10931176,0014-2956,,Galat A,,Sequence diversification of the FK506-binding proteins in several different genomes.,Eur J Biochem,
10887085,0950-1991,,Sommer RJ,,Novel cell-cell interactions during vulva development in Pristionchus pacificus.,Development,6.862
15687590,0888-6008,,Sternberg PW,,Regulation of EGF receptor signaling in the fruitfly D. melanogaster and the nematode C. elegans.,Breast Dis,
10968795,0036-8075,,Lithgow GJ,,Extension of life-span with superoxide dismutase/catalase mimetics.,Science,63.714
