Go_Id,Category,Term
GO:0015791,Biological_process,polyol transmembrane transport
GO:0015793,Biological_process,glycerol transmembrane transport
GO:0015798,Biological_process,myo-inositol transport
GO:0015803,Biological_process,branched-chain amino acid transport
GO:0015804,Biological_process,neutral amino acid transport
GO:0015807,Biological_process,L-amino acid transport
GO:0015810,Biological_process,aspartate transmembrane transport
GO:0015811,Biological_process,L-cystine transport
GO:0015812,Biological_process,gamma-aminobutyric acid transport
GO:0015813,Biological_process,L-glutamate transmembrane transport
GO:0015816,Biological_process,glycine transport
GO:0015819,Biological_process,lysine transport
GO:0015833,Biological_process,peptide transport
GO:0015837,Biological_process,amine transport
GO:0015838,Biological_process,amino-acid betaine transport
GO:0015842,Biological_process,aminergic neurotransmitter loading into synaptic vesicle
GO:0015855,Biological_process,pyrimidine nucleobase transport
GO:0015858,Biological_process,nucleoside transport
GO:0015866,Biological_process,ADP transport
GO:0015867,Biological_process,ATP transport
GO:0015870,Biological_process,acetylcholine transport
GO:0015871,Biological_process,choline transport
GO:0015872,Biological_process,dopamine transport
GO:0015874,Biological_process,norepinephrine transport
GO:0015876,Biological_process,acetyl-CoA transport
GO:0015886,Biological_process,heme transport
GO:0015889,Biological_process,cobalamin transport
GO:0015908,Biological_process,fatty acid transport
GO:0015909,Biological_process,long-chain fatty acid transport
GO:0015910,Biological_process,long-chain fatty acid import into peroxisome
GO:0015914,Biological_process,phospholipid transport
GO:0015917,Biological_process,aminophospholipid transport
GO:0015918,Biological_process,sterol transport
GO:0015936,Biological_process,coenzyme A metabolic process
GO:0015937,Biological_process,coenzyme A biosynthetic process
GO:0015938,Biological_process,coenzyme A catabolic process
GO:0015966,Biological_process,diadenosine tetraphosphate biosynthetic process
GO:0015967,Biological_process,diadenosine tetraphosphate catabolic process
GO:0015986,Biological_process,proton motive force-driven ATP synthesis
GO:0015988,Biological_process,"energy coupled proton transmembrane transport, against electrochemical gradient"
GO:0015990,Biological_process,electron transport coupled proton transport
GO:0016024,Biological_process,CDP-diacylglycerol biosynthetic process
GO:0016031,Biological_process,tRNA import into mitochondrion
GO:0016036,Biological_process,cellular response to phosphate starvation
GO:0016042,Biological_process,lipid catabolic process
GO:0016043,Biological_process,cellular component organization
GO:0016045,Biological_process,detection of bacterium
GO:0016048,Biological_process,detection of temperature stimulus
GO:0016050,Biological_process,vesicle organization
GO:0016051,Biological_process,carbohydrate biosynthetic process
GO:0016052,Biological_process,carbohydrate catabolic process
GO:0016055,Biological_process,Wnt signaling pathway
GO:0016070,Biological_process,RNA metabolic process
GO:0016071,Biological_process,mRNA metabolic process
GO:0016075,Biological_process,rRNA catabolic process
GO:0016079,Biological_process,synaptic vesicle exocytosis
GO:0016080,Biological_process,synaptic vesicle targeting
GO:0016081,Biological_process,synaptic vesicle docking
GO:0016082,Biological_process,synaptic vesicle priming
GO:0016094,Biological_process,polyprenol biosynthetic process
GO:0016095,Biological_process,polyprenol catabolic process
GO:0016121,Biological_process,carotene catabolic process
GO:0016125,Biological_process,sterol metabolic process
GO:0016126,Biological_process,sterol biosynthetic process
GO:0016132,Biological_process,brassinosteroid biosynthetic process
GO:0016139,Biological_process,glycoside catabolic process
GO:0016180,Biological_process,snRNA processing
GO:0016182,Biological_process,synaptic vesicle budding from endosome
GO:0016185,Biological_process,synaptic vesicle budding from presynaptic endocytic zone membrane
GO:0016188,Biological_process,synaptic vesicle maturation
GO:0016191,Biological_process,synaptic vesicle uncoating
GO:0016192,Biological_process,vesicle-mediated transport
GO:0016197,Biological_process,endosomal transport
GO:0016199,Biological_process,axon midline choice point recognition
GO:0016203,Biological_process,muscle attachment
GO:0016204,Biological_process,determination of muscle attachment site
GO:0016226,Biological_process,iron-sulfur cluster assembly
GO:0016233,Biological_process,telomere capping
GO:0016236,Biological_process,macroautophagy
GO:0016239,Biological_process,positive regulation of macroautophagy
GO:0016240,Biological_process,autophagosome membrane docking
GO:0016242,Biological_process,negative regulation of macroautophagy
GO:0016255,Biological_process,attachment of GPI anchor to protein
GO:0016260,Biological_process,selenocysteine biosynthetic process
GO:0016264,Biological_process,gap junction assembly
GO:0016310,Biological_process,phosphorylation
GO:0016311,Biological_process,dephosphorylation
GO:0016322,Biological_process,neuron remodeling
GO:0016331,Biological_process,morphogenesis of embryonic epithelium
GO:0016332,Biological_process,establishment or maintenance of polarity of embryonic epithelium
GO:0016344,Biological_process,meiotic chromosome movement towards spindle pole
GO:0016358,Biological_process,dendrite development
GO:0016441,Biological_process,post-transcriptional gene silencing
GO:0016476,Biological_process,regulation of embryonic cell shape
GO:0016477,Biological_process,cell migration
GO:0016479,Biological_process,negative regulation of transcription by RNA polymerase I
GO:0016480,Biological_process,negative regulation of transcription by RNA polymerase III
GO:0016485,Biological_process,protein processing
GO:0016486,Biological_process,peptide hormone processing
GO:0016525,Biological_process,negative regulation of angiogenesis
GO:0016540,Biological_process,protein autoprocessing
GO:0016556,Biological_process,mRNA modification
GO:0016558,Biological_process,protein import into peroxisome matrix
GO:0016559,Biological_process,peroxisome fission
GO:0016560,Biological_process,"protein import into peroxisome matrix, docking"
GO:0016567,Biological_process,protein ubiquitination
GO:0016579,Biological_process,protein deubiquitination
GO:0016598,Biological_process,protein arginylation
GO:0016601,Biological_process,Rac protein signal transduction
GO:0016925,Biological_process,protein sumoylation
GO:0016926,Biological_process,protein desumoylation
GO:0016973,Biological_process,poly(A)+ mRNA export from nucleus
GO:0016998,Biological_process,cell wall macromolecule catabolic process
GO:0017015,Biological_process,regulation of transforming growth factor beta receptor signaling pathway
GO:0017085,Biological_process,response to insecticide
GO:0017121,Biological_process,plasma membrane phospholipid scrambling
GO:0017126,Biological_process,nucleologenesis
GO:0017148,Biological_process,negative regulation of translation
GO:0017156,Biological_process,calcium-ion regulated exocytosis
GO:0017157,Biological_process,regulation of exocytosis
GO:0017158,Biological_process,regulation of calcium ion-dependent exocytosis
GO:0017183,Biological_process,protein histidyl modification to diphthamide
GO:0017196,Biological_process,N-terminal peptidyl-methionine acetylation
GO:0018023,Biological_process,peptidyl-lysine trimethylation
GO:0018095,Biological_process,protein polyglutamylation
GO:0018105,Biological_process,peptidyl-serine phosphorylation
GO:0018108,Biological_process,peptidyl-tyrosine phosphorylation
GO:0018193,Biological_process,peptidyl-amino acid modification
GO:0018216,Biological_process,peptidyl-arginine methylation
GO:0018243,Biological_process,protein O-linked glycosylation via threonine
GO:0018279,Biological_process,protein N-linked glycosylation via asparagine
GO:0018283,Biological_process,iron incorporation into metallo-sulfur cluster
GO:0018342,Biological_process,protein prenylation
GO:0018344,Biological_process,protein geranylgeranylation
GO:0018395,Biological_process,peptidyl-lysine hydroxylation to 5-hydroxy-L-lysine
GO:0018406,Biological_process,protein C-linked glycosylation via 2'-alpha-mannosyl-L-tryptophan
GO:0018985,Biological_process,pronuclear envelope synthesis
GO:0018991,Biological_process,egg-laying behavior
GO:0018992,Biological_process,germ-line sex determination
GO:0018996,Biological_process,"molting cycle, collagen and cuticulin-based cuticle"
GO:0019075,Biological_process,virus maturation
GO:0019098,Biological_process,reproductive behavior
GO:0019099,Biological_process,female germ-line sex determination
GO:0019100,Biological_process,male germ-line sex determination
GO:0019101,Biological_process,female somatic sex determination
GO:0019102,Biological_process,male somatic sex determination
GO:0019216,Biological_process,regulation of lipid metabolic process
GO:0019217,Biological_process,regulation of fatty acid metabolic process
GO:0019221,Biological_process,cytokine-mediated signaling pathway
GO:0019226,Biological_process,transmission of nerve impulse
GO:0019228,Biological_process,neuronal action potential
GO:0019230,Biological_process,proprioception
GO:0019236,Biological_process,response to pheromone
GO:0019240,Biological_process,citrulline biosynthetic process
GO:0019243,Biological_process,methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione
GO:0019249,Biological_process,lactate biosynthetic process
GO:0019254,Biological_process,"carnitine metabolic process, CoA-linked"
GO:0019262,Biological_process,N-acetylneuraminate catabolic process
GO:0019264,Biological_process,glycine biosynthetic process from serine
GO:0019265,Biological_process,"glycine biosynthetic process, by transamination of glyoxylate"
GO:0019284,Biological_process,L-methionine salvage from S-adenosylmethionine
GO:0019287,Biological_process,"isopentenyl diphosphate biosynthetic process, mevalonate pathway"
GO:0019293,Biological_process,"tyrosine biosynthetic process, by oxidation of phenylalanine"
GO:0019303,Biological_process,D-ribose catabolic process
GO:0019310,Biological_process,inositol catabolic process
GO:0019318,Biological_process,hexose metabolic process
GO:0019343,Biological_process,cysteine biosynthetic process via cystathionine
GO:0019344,Biological_process,cysteine biosynthetic process
GO:0019346,Biological_process,transsulfuration
GO:0019348,Biological_process,dolichol metabolic process
GO:0019363,Biological_process,pyridine nucleotide biosynthetic process
GO:0019367,Biological_process,"fatty acid elongation, saturated fatty acid"
GO:0019369,Biological_process,arachidonic acid metabolic process
GO:0019391,Biological_process,glucuronoside catabolic process
GO:0019395,Biological_process,fatty acid oxidation
GO:0019408,Biological_process,dolichol biosynthetic process
GO:0019427,Biological_process,acetyl-CoA biosynthetic process from acetate
GO:0019430,Biological_process,removal of superoxide radicals
GO:0019432,Biological_process,triglyceride biosynthetic process
GO:0019433,Biological_process,triglyceride catabolic process
GO:0019439,Biological_process,aromatic compound catabolic process
GO:0019441,Biological_process,tryptophan catabolic process to kynurenine
GO:0019442,Biological_process,tryptophan catabolic process to acetyl-CoA
GO:0019448,Biological_process,L-cysteine catabolic process
GO:0019464,Biological_process,glycine decarboxylation via glycine cleavage system
GO:0019478,Biological_process,D-amino acid catabolic process
GO:0019481,Biological_process,"L-alanine catabolic process, by transamination"
GO:0019483,Biological_process,beta-alanine biosynthetic process
GO:0019509,Biological_process,L-methionine salvage from methylthioadenosine
GO:0019510,Biological_process,S-adenosylhomocysteine catabolic process
GO:0019521,Biological_process,D-gluconate metabolic process
GO:0019532,Biological_process,oxalate transport
GO:0019538,Biological_process,protein metabolic process
GO:0019543,Biological_process,propionate catabolic process
GO:0019544,Biological_process,arginine catabolic process to glutamate
GO:0019547,Biological_process,arginine catabolic process to ornithine
GO:0019556,Biological_process,histidine catabolic process to glutamate and formamide
GO:0019557,Biological_process,histidine catabolic process to glutamate and formate
GO:0019563,Biological_process,glycerol catabolic process
GO:0019637,Biological_process,organophosphate metabolic process
GO:0019646,Biological_process,aerobic electron transport chain
GO:0019673,Biological_process,GDP-mannose metabolic process
GO:0019674,Biological_process,NAD metabolic process
GO:0019676,Biological_process,ammonia assimilation cycle
GO:0019677,Biological_process,NAD catabolic process
GO:0019678,Biological_process,"propionate metabolic process, methylmalonyl pathway"
GO:0019693,Biological_process,ribose phosphate metabolic process
GO:0019695,Biological_process,choline metabolic process
GO:0019722,Biological_process,calcium-mediated signaling
GO:0019725,Biological_process,cellular homeostasis
GO:0019748,Biological_process,secondary metabolic process
GO:0019752,Biological_process,carboxylic acid metabolic process
GO:0019805,Biological_process,quinolinate biosynthetic process
GO:0019827,Biological_process,stem cell population maintenance
GO:0019856,Biological_process,pyrimidine nucleobase biosynthetic process
GO:0019859,Biological_process,thymine metabolic process
GO:0019860,Biological_process,uracil metabolic process
GO:0019878,Biological_process,lysine biosynthetic process via aminoadipic acid
GO:0019915,Biological_process,lipid storage
GO:0019933,Biological_process,cAMP-mediated signaling
GO:0019934,Biological_process,cGMP-mediated signaling
GO:0019941,Biological_process,modification-dependent protein catabolic process
GO:0019953,Biological_process,sexual reproduction
GO:0019985,Biological_process,translesion synthesis
GO:0021520,Biological_process,spinal cord motor neuron cell fate specification
GO:0021675,Biological_process,nerve development
GO:0021780,Biological_process,glial cell fate specification
GO:0021782,Biological_process,glial cell development
GO:0022008,Biological_process,neurogenesis
GO:0022401,Biological_process,negative adaptation of signaling pathway
GO:0022404,Biological_process,molting cycle process
GO:0022409,Biological_process,positive regulation of cell-cell adhesion
GO:0022414,Biological_process,reproductive process
GO:0022417,Biological_process,protein maturation by protein folding
GO:0022600,Biological_process,digestive system process
GO:0022603,Biological_process,regulation of anatomical structure morphogenesis
GO:0022604,Biological_process,regulation of cell morphogenesis
GO:0022607,Biological_process,cellular component assembly
GO:0022615,Biological_process,protein to membrane docking
GO:0022618,Biological_process,protein-RNA complex assembly
GO:0022900,Biological_process,electron transport chain
GO:0022904,Biological_process,respiratory electron transport chain
GO:0023019,Biological_process,signal transduction involved in regulation of gene expression
GO:0023041,Biological_process,neuronal signal transduction
GO:0023051,Biological_process,regulation of signaling
GO:0023052,Biological_process,signaling
GO:0030001,Biological_process,metal ion transport
GO:0030003,Biological_process,intracellular monoatomic cation homeostasis
GO:0030007,Biological_process,intracellular potassium ion homeostasis
GO:0030010,Biological_process,establishment of cell polarity
GO:0030026,Biological_process,intracellular manganese ion homeostasis
GO:0030029,Biological_process,actin filament-based process
GO:0030030,Biological_process,cell projection organization
GO:0030031,Biological_process,cell projection assembly
GO:0030032,Biological_process,lamellipodium assembly
GO:0030033,Biological_process,microvillus assembly
GO:0030036,Biological_process,actin cytoskeleton organization
GO:0030041,Biological_process,actin filament polymerization
GO:0030042,Biological_process,actin filament depolymerization
GO:0030043,Biological_process,actin filament fragmentation
GO:0030048,Biological_process,actin filament-based movement
GO:0030050,Biological_process,vesicle transport along actin filament
GO:0030070,Biological_process,insulin processing
GO:0030091,Biological_process,protein repair
GO:0030100,Biological_process,regulation of endocytosis
GO:0030111,Biological_process,regulation of Wnt signaling pathway
GO:0030148,Biological_process,sphingolipid biosynthetic process
GO:0030149,Biological_process,sphingolipid catabolic process
GO:0030150,Biological_process,protein import into mitochondrial matrix
GO:0030154,Biological_process,cell differentiation
GO:0030155,Biological_process,regulation of cell adhesion
GO:0030162,Biological_process,regulation of proteolysis
GO:0030163,Biological_process,protein catabolic process
GO:0030166,Biological_process,proteoglycan biosynthetic process
GO:0030174,Biological_process,regulation of DNA-templated DNA replication initiation
GO:0030177,Biological_process,positive regulation of Wnt signaling pathway
GO:0030178,Biological_process,negative regulation of Wnt signaling pathway
GO:0030182,Biological_process,neuron differentiation
GO:0030198,Biological_process,extracellular matrix organization
GO:0030199,Biological_process,collagen fibril organization
GO:0030203,Biological_process,glycosaminoglycan metabolic process
GO:0030206,Biological_process,chondroitin sulfate biosynthetic process
GO:0030207,Biological_process,chondroitin sulfate catabolic process
GO:0030210,Biological_process,heparin biosynthetic process
GO:0030214,Biological_process,hyaluronan catabolic process
GO:0030238,Biological_process,male sex determination
GO:0030239,Biological_process,myofibril assembly
GO:0030240,Biological_process,skeletal muscle thin filament assembly
GO:0030241,Biological_process,skeletal muscle myosin thick filament assembly
GO:0030258,Biological_process,lipid modification
GO:0030261,Biological_process,chromosome condensation
GO:0030299,Biological_process,intestinal cholesterol absorption
GO:0030301,Biological_process,cholesterol transport
GO:0030307,Biological_process,positive regulation of cell growth
GO:0030308,Biological_process,negative regulation of cell growth
GO:0030317,Biological_process,flagellated sperm motility
GO:0030322,Biological_process,stabilization of membrane potential
GO:0030334,Biological_process,regulation of cell migration
GO:0030335,Biological_process,positive regulation of cell migration
GO:0030336,Biological_process,negative regulation of cell migration
GO:0030388,Biological_process,"fructose 1,6-bisphosphate metabolic process"
GO:0030421,Biological_process,defecation
GO:0030422,Biological_process,siRNA processing
GO:0030431,Biological_process,sleep
GO:0030473,Biological_process,nuclear migration along microtubule
GO:0030488,Biological_process,tRNA methylation
GO:0030490,Biological_process,maturation of SSU-rRNA
GO:0030497,Biological_process,fatty acid elongation
GO:0030509,Biological_process,BMP signaling pathway
GO:0030510,Biological_process,regulation of BMP signaling pathway
GO:0030511,Biological_process,positive regulation of transforming growth factor beta receptor signaling pathway
GO:0030512,Biological_process,negative regulation of transforming growth factor beta receptor signaling pathway
GO:0030513,Biological_process,positive regulation of BMP signaling pathway
GO:0030514,Biological_process,negative regulation of BMP signaling pathway
GO:0030516,Biological_process,regulation of axon extension
GO:0030517,Biological_process,negative regulation of axon extension
GO:0030522,Biological_process,intracellular receptor signaling pathway
GO:0030534,Biological_process,adult behavior
GO:0030536,Biological_process,larval feeding behavior
GO:0030538,Biological_process,embryonic genitalia morphogenesis
GO:0030539,Biological_process,male genitalia development
GO:0030540,Biological_process,female genitalia development
GO:0030574,Biological_process,collagen catabolic process
GO:0030576,Biological_process,Cajal body organization
GO:0030588,Biological_process,pseudocleavage
GO:0030590,Biological_process,first cell cycle pseudocleavage
GO:0030641,Biological_process,regulation of cellular pH
GO:0030703,Biological_process,eggshell formation
GO:0030705,Biological_process,cytoskeleton-dependent intracellular transport
GO:0030716,Biological_process,oocyte fate determination
GO:0030718,Biological_process,germ-line stem cell population maintenance
GO:0030719,Biological_process,P granule organization
GO:0030728,Biological_process,ovulation
GO:0030730,Biological_process,sequestering of triglyceride
GO:0030833,Biological_process,regulation of actin filament polymerization
GO:0030835,Biological_process,negative regulation of actin filament depolymerization
GO:0030836,Biological_process,positive regulation of actin filament depolymerization
GO:0030837,Biological_process,negative regulation of actin filament polymerization
GO:0030838,Biological_process,positive regulation of actin filament polymerization
GO:0030845,Biological_process,phospholipase C-inhibiting G protein-coupled receptor signaling pathway
GO:0030856,Biological_process,regulation of epithelial cell differentiation
GO:0030865,Biological_process,cortical cytoskeleton organization
GO:0030866,Biological_process,cortical actin cytoskeleton organization
GO:0030950,Biological_process,establishment or maintenance of actin cytoskeleton polarity
GO:0030951,Biological_process,establishment or maintenance of microtubule cytoskeleton polarity
GO:0030953,Biological_process,astral microtubule organization
GO:0030968,Biological_process,endoplasmic reticulum unfolded protein response
GO:0030970,Biological_process,"retrograde protein transport, ER to cytosol"
GO:0030974,Biological_process,thiamine pyrophosphate transmembrane transport
GO:0030997,Biological_process,regulation of centriole-centriole cohesion
GO:0031023,Biological_process,microtubule organizing center organization
GO:0031032,Biological_process,actomyosin structure organization
GO:0031034,Biological_process,myosin filament assembly
GO:0031037,Biological_process,myosin II filament disassembly
GO:0031047,Biological_process,regulatory ncRNA-mediated gene silencing
GO:0031048,Biological_process,regulatory ncRNA-mediated heterochromatin formation
GO:0031053,Biological_process,primary miRNA processing
GO:0031054,Biological_process,pre-miRNA processing
GO:0031087,Biological_process,deadenylation-independent decapping of nuclear-transcribed mRNA
GO:0031103,Biological_process,axon regeneration
GO:0031106,Biological_process,septin ring organization
GO:0031110,Biological_process,regulation of microtubule polymerization or depolymerization
GO:0031113,Biological_process,regulation of microtubule polymerization
GO:0031114,Biological_process,regulation of microtubule depolymerization
GO:0031115,Biological_process,negative regulation of microtubule polymerization
GO:0031117,Biological_process,positive regulation of microtubule depolymerization
GO:0031118,Biological_process,rRNA pseudouridine synthesis
GO:0031119,Biological_process,tRNA pseudouridine synthesis
GO:0031120,Biological_process,snRNA pseudouridine synthesis
GO:0031122,Biological_process,cytoplasmic microtubule organization
GO:0031123,Biological_process,RNA 3'-end processing
GO:0031124,Biological_process,mRNA 3'-end processing
GO:0031129,Biological_process,inductive cell-cell signaling
GO:0031134,Biological_process,sister chromatid biorientation
GO:0031145,Biological_process,anaphase-promoting complex-dependent catabolic process
GO:0031146,Biological_process,SCF-dependent proteasomal ubiquitin-dependent protein catabolic process
GO:0031161,Biological_process,phosphatidylinositol catabolic process
GO:0031167,Biological_process,rRNA methylation
GO:0031175,Biological_process,neuron projection development
GO:0031204,Biological_process,"post-translational protein targeting to membrane, translocation"
GO:0031268,Biological_process,pseudopodium organization
GO:0031272,Biological_process,regulation of pseudopodium assembly
GO:0031293,Biological_process,membrane protein intracellular domain proteolysis
GO:0031297,Biological_process,replication fork processing
GO:0031333,Biological_process,negative regulation of protein-containing complex assembly
GO:0031334,Biological_process,positive regulation of protein-containing complex assembly
GO:0031340,Biological_process,positive regulation of vesicle fusion
GO:0031344,Biological_process,regulation of cell projection organization
GO:0031345,Biological_process,negative regulation of cell projection organization
GO:0031397,Biological_process,negative regulation of protein ubiquitination
GO:0031398,Biological_process,positive regulation of protein ubiquitination
GO:0031445,Biological_process,regulation of heterochromatin formation
GO:0031468,Biological_process,nuclear membrane reassembly
GO:0031507,Biological_process,heterochromatin formation
GO:0031509,Biological_process,subtelomeric heterochromatin formation
GO:0031536,Biological_process,positive regulation of exit from mitosis
GO:0031554,Biological_process,regulation of termination of DNA-templated transcription
GO:0031573,Biological_process,mitotic intra-S DNA damage checkpoint signaling
GO:0031581,Biological_process,hemidesmosome assembly
GO:0031591,Biological_process,wybutosine biosynthetic process
GO:0031623,Biological_process,receptor internalization
GO:0031629,Biological_process,synaptic vesicle fusion to presynaptic active zone membrane
GO:0031638,Biological_process,zymogen activation
GO:0031640,Biological_process,killing of cells of another organism
GO:0031647,Biological_process,regulation of protein stability
GO:0031648,Biological_process,protein destabilization
GO:0031668,Biological_process,cellular response to extracellular stimulus
GO:0031929,Biological_process,TOR signaling
GO:0031954,Biological_process,positive regulation of protein autophosphorylation
GO:0031987,Biological_process,locomotion involved in locomotory behavior
GO:0031991,Biological_process,regulation of actomyosin contractile ring contraction
GO:0032000,Biological_process,positive regulation of fatty acid beta-oxidation
GO:0032006,Biological_process,regulation of TOR signaling
GO:0032007,Biological_process,negative regulation of TOR signaling
GO:0032008,Biological_process,positive regulation of TOR signaling
GO:0032012,Biological_process,regulation of ARF protein signal transduction
GO:0032024,Biological_process,positive regulation of insulin secretion
GO:0032026,Biological_process,response to magnesium ion
GO:0032042,Biological_process,mitochondrial DNA metabolic process
GO:0032049,Biological_process,cardiolipin biosynthetic process
GO:0032053,Biological_process,ciliary basal body organization
GO:0032056,Biological_process,positive regulation of translation in response to stress
GO:0032088,Biological_process,negative regulation of NF-kappaB transcription factor activity
GO:0032091,Biological_process,negative regulation of protein binding
GO:0032094,Biological_process,response to food
GO:0032096,Biological_process,negative regulation of response to food
GO:0032200,Biological_process,telomere organization
GO:0032218,Biological_process,riboflavin transport
GO:0032222,Biological_process,"regulation of synaptic transmission, cholinergic"
GO:0032223,Biological_process,"negative regulation of synaptic transmission, cholinergic"
GO:0032224,Biological_process,"positive regulation of synaptic transmission, cholinergic"
GO:0032226,Biological_process,"positive regulation of synaptic transmission, dopaminergic"
GO:0032228,Biological_process,"regulation of synaptic transmission, GABAergic"
GO:0032230,Biological_process,"positive regulation of synaptic transmission, GABAergic"
GO:0032259,Biological_process,methylation
GO:0032263,Biological_process,GMP salvage
GO:0032264,Biological_process,IMP salvage
GO:0032273,Biological_process,positive regulation of protein polymerization
GO:0032324,Biological_process,molybdopterin cofactor biosynthetic process
GO:0032364,Biological_process,intracellular oxygen homeostasis
GO:0032366,Biological_process,intracellular sterol transport
GO:0032392,Biological_process,DNA geometric change
GO:0032418,Biological_process,lysosome localization
GO:0032434,Biological_process,regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0032435,Biological_process,negative regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0032436,Biological_process,positive regulation of proteasomal ubiquitin-dependent protein catabolic process
GO:0032438,Biological_process,melanosome organization
GO:0032446,Biological_process,protein modification by small protein conjugation
GO:0032447,Biological_process,protein urmylation
GO:0032456,Biological_process,endocytic recycling
GO:0032465,Biological_process,regulation of cytokinesis
GO:0032467,Biological_process,positive regulation of cytokinesis
GO:0032468,Biological_process,Golgi calcium ion homeostasis
GO:0032469,Biological_process,endoplasmic reticulum calcium ion homeostasis
GO:0032472,Biological_process,Golgi calcium ion transport
GO:0032480,Biological_process,negative regulation of type I interferon production
GO:0032483,Biological_process,regulation of Rab protein signal transduction
GO:0032484,Biological_process,Ral protein signal transduction
GO:0032486,Biological_process,Rap protein signal transduction
GO:0032488,Biological_process,Cdc42 protein signal transduction
GO:0032490,Biological_process,detection of molecule of bacterial origin
GO:0032502,Biological_process,developmental process
GO:0032508,Biological_process,DNA duplex unwinding
GO:0032509,Biological_process,endosome transport via multivesicular body sorting pathway
GO:0032510,Biological_process,endosome to lysosome transport via multivesicular body sorting pathway
GO:0032511,Biological_process,late endosome to vacuole transport via multivesicular body sorting pathway
GO:0032515,Biological_process,negative regulation of phosphoprotein phosphatase activity
GO:0032516,Biological_process,positive regulation of phosphoprotein phosphatase activity
GO:0032526,Biological_process,response to retinoic acid
GO:0032527,Biological_process,protein exit from endoplasmic reticulum
GO:0032528,Biological_process,microvillus organization
GO:0032534,Biological_process,regulation of microvillus assembly
GO:0032543,Biological_process,mitochondrial translation
GO:0032609,Biological_process,type II interferon production
GO:0032728,Biological_process,positive regulation of interferon-beta production
GO:0032780,Biological_process,negative regulation of ATP-dependent activity
GO:0032784,Biological_process,regulation of DNA-templated transcription elongation
GO:0032786,Biological_process,"positive regulation of DNA-templated transcription, elongation"
GO:0032790,Biological_process,ribosome disassembly
GO:0032793,Biological_process,positive regulation of CREB transcription factor activity
GO:0032801,Biological_process,receptor catabolic process
GO:0032869,Biological_process,cellular response to insulin stimulus
GO:0032870,Biological_process,cellular response to hormone stimulus
GO:0032873,Biological_process,negative regulation of stress-activated MAPK cascade
GO:0032874,Biological_process,positive regulation of stress-activated MAPK cascade
GO:0032875,Biological_process,regulation of DNA endoreduplication
GO:0032876,Biological_process,negative regulation of DNA endoreduplication
GO:0032877,Biological_process,positive regulation of DNA endoreduplication
GO:0032878,Biological_process,regulation of establishment or maintenance of cell polarity
GO:0032880,Biological_process,regulation of protein localization
GO:0032888,Biological_process,regulation of mitotic spindle elongation
GO:0032918,Biological_process,spermidine acetylation
GO:0032924,Biological_process,activin receptor signaling pathway
GO:0032933,Biological_process,SREBP signaling pathway
GO:0032956,Biological_process,regulation of actin cytoskeleton organization
GO:0032958,Biological_process,inositol phosphate biosynthetic process
GO:0032963,Biological_process,collagen metabolic process
GO:0032964,Biological_process,collagen biosynthetic process
GO:0032968,Biological_process,positive regulation of transcription elongation by RNA polymerase II
GO:0032970,Biological_process,regulation of actin filament-based process
GO:0032979,Biological_process,protein insertion into mitochondrial inner membrane from matrix
GO:0032981,Biological_process,mitochondrial respiratory chain complex I assembly
GO:0033036,Biological_process,macromolecule localization
GO:0033108,Biological_process,mitochondrial respiratory chain complex assembly
GO:0033120,Biological_process,positive regulation of RNA splicing
GO:0033138,Biological_process,positive regulation of peptidyl-serine phosphorylation
GO:0033168,Biological_process,obsolete conversion of ds siRNA to ss siRNA involved in RNA interference
GO:0033206,Biological_process,meiotic cytokinesis
GO:0033209,Biological_process,tumor necrosis factor-mediated signaling pathway
GO:0033211,Biological_process,adiponectin-activated signaling pathway
GO:0033212,Biological_process,iron import into cell
GO:0033214,Biological_process,siderophore-dependent iron import into cell
GO:0033227,Biological_process,dsRNA transport
GO:0033260,Biological_process,nuclear DNA replication
GO:0033275,Biological_process,actin-myosin filament sliding
GO:0033314,Biological_process,mitotic DNA replication checkpoint signaling
GO:0033316,Biological_process,meiotic spindle assembly checkpoint signaling
GO:0033319,Biological_process,UDP-D-xylose metabolic process
GO:0033320,Biological_process,UDP-D-xylose biosynthetic process
GO:0033353,Biological_process,S-adenosylmethionine cycle
GO:0033365,Biological_process,protein localization to organelle
GO:0033387,Biological_process,putrescine biosynthetic process from ornithine
GO:0033396,Biological_process,beta-alanine biosynthetic process via 3-ureidopropionate
GO:0033499,Biological_process,galactose catabolic process via UDP-galactose
GO:0033512,Biological_process,L-lysine catabolic process to acetyl-CoA via saccharopine
GO:0033514,Biological_process,L-lysine catabolic process to acetyl-CoA via L-pipecolate
GO:0033528,Biological_process,S-methylmethionine cycle
GO:0033539,Biological_process,fatty acid beta-oxidation using acyl-CoA dehydrogenase
GO:0033540,Biological_process,fatty acid beta-oxidation using acyl-CoA oxidase
GO:0033554,Biological_process,cellular response to stress
GO:0033555,Biological_process,multicellular organismal response to stress
GO:0033563,Biological_process,dorsal/ventral axon guidance
GO:0033564,Biological_process,anterior/posterior axon guidance
GO:0033567,Biological_process,"DNA replication, Okazaki fragment processing"
GO:0033602,Biological_process,negative regulation of dopamine secretion
GO:0033603,Biological_process,positive regulation of dopamine secretion
GO:0033615,Biological_process,mitochondrial proton-transporting ATP synthase complex assembly
GO:0033617,Biological_process,mitochondrial cytochrome c oxidase assembly
